qid,question,answer,qid.1,question.1,answer.1,concepts,numbers,units,relations,cn_result
0,which is the suitable temperature for photosynthesis?,12\degree c - 25\degree c,0,which is the suitable temperature for photosynthesis?,12\degree c - 25\degree c,"['photosynthesis', 'temperature', 'suitable', 'c']",['12\\degree'],"['m', 'deg']",[],"{'display': [{'head': 'h', 'relation': 'relatedto', 'tail': 'heat_content', 'score': -9.791659355163574}, {'head': 'c', 'relation': 'relatedto', 'tail': 'degree_centigrade', 'score': -10.12707342019858}, {'head': 'a', 'relation': 'relatedto', 'tail': 'absolute_temperature', 'score': -11.782614994049073}], 'graph_edges': [(2322370, -9.791659355163574, None), (2263681, -10.12707342019858, None), (638437, -11.782614994049073, None)]}"
0,which is the suitable temperature for photosynthesis?,17\degree c - 30\degree c,0,which is the suitable temperature for photosynthesis?,17\degree c - 30\degree c,"['photosynthesis', 'temperature', 'suitable', 'c']",['17\\degree'],"['m', 'deg']",[],"{'display': [{'head': 'c', 'relation': 'relatedto', 'tail': 'degree_centigrade', 'score': -9.06599492753395}, {'head': 'h', 'relation': 'relatedto', 'tail': 'heat_content', 'score': -9.709465026855469}, {'head': 'a', 'relation': 'relatedto', 'tail': 'absolute_temperature', 'score': -11.698591613769532}], 'graph_edges': [(2263681, -9.06599492753395, None), (2322370, -9.709465026855469, None), (638437, -11.698591613769532, None)]}"
0,which is the suitable temperature for photosynthesis?,22\degree c - 35\degree c,0,which is the suitable temperature for photosynthesis?,22\degree c - 35\degree c,"['photosynthesis', 'temperature', 'suitable', 'c']",['22\\degree'],"['m', 'deg']",[],"{'display': [{'head': 'h', 'relation': 'relatedto', 'tail': 'heat_content', 'score': -9.828973770141602}, {'head': 'c', 'relation': 'relatedto', 'tail': 'degree_centigrade', 'score': -9.944894178821299}, {'head': 'a', 'relation': 'relatedto', 'tail': 'absolute_temperature', 'score': -11.796429824829103}], 'graph_edges': [(2322370, -9.828973770141602, None), (2263681, -9.944894178821299, None), (638437, -11.796429824829103, None)]}"
0,which is the suitable temperature for photosynthesis?,27\degree c - 40\degree c,0,which is the suitable temperature for photosynthesis?,27\degree c - 40\degree c,"['photosynthesis', 'temperature', 'suitable']","['40\\degree', '27\\degree']","['m', 'deg']",[],"{'display': [{'head': 'h', 'relation': 'relatedto', 'tail': 'heat_content', 'score': -9.7073392868042}, {'head': 'a', 'relation': 'relatedto', 'tail': 'absolute_temperature', 'score': -11.646721839904785}], 'graph_edges': [(2322370, -9.7073392868042, None), (638437, -11.646721839904785, None)]}"
1,where is the solar energy stored as the potential energy?,oxygen,1,where is the solar energy stored as the potential energy?,oxygen,"['solar', 'energy', 'oxygen', 'potential', 'store']",[],[],[],"{'display': [{'head': 'o', 'relation': 'relatedto', 'tail': 'oxygen', 'score': -8.106097221374512}], 'graph_edges': [(2367741, -8.106097221374512, None)]}"
1,where is the solar energy stored as the potential energy?,water,1,where is the solar energy stored as the potential energy?,water,"['solar', 'water', 'energy', 'potential', 'store']",[],[],[],"{'display': [], 'graph_edges': []}"
1,where is the solar energy stored as the potential energy?,carbon-dioxide,1,where is the solar energy stored as the potential energy?,carbon-dioxide,"['solar', 'energy', 'carbon', 'potential', 'store', 'dioxide']",[],[],[],"{'display': [], 'graph_edges': []}"
1,where is the solar energy stored as the potential energy?,carbohydrate,1,where is the solar energy stored as the potential energy?,carbohydrate,"['solar', 'energy', 'potential', 'store', 'carbohydrate']",[],[],[],"{'display': [], 'graph_edges': []}"
2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1801.5 calorie,2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1801.5 calorie,"['old', 'rahim', 'tania', 'kg', 'hand', 'day', '.', 'daughter', 'young', 'work', 'play', 'week', 'eld', 'weight', 'calorie', 'meter', 'light', 'weigh', 'mr', 'rashe', 'bmr', 'year', 'son', 'height']","['60 kg', '1.62', '1.5 meter', '25', '65', '1801.5', '60', '1.62 meter', '3', '65 kg', '2', '1.5', '20']",['m'],[],"{'display': [{'head': 'a', 'relation': 'relatedto', 'tail': 'adult', 'score': -4.951737880706787}, {'head': 'b', 'relation': 'relatedto', 'tail': 'bacillus', 'score': -5.350405920547514}, {'head': 'a', 'relation': 'relatedto', 'tail': 'vitamin', 'score': -5.414714737819317}], 'graph_edges': [(638460, -4.951737880706787, None), (2250186, -5.350405920547514, None), (2234991, -5.414714737819317, None), (1390975, -5.508806422401068, None), (738466, -5.851679615703086, None), (2250189, -7.286426258087158, None)]}"
2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1705.0 calorie,2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1705.0 calorie,"['old', 'rahim', 'tania', 'kg', 'hand', 'day', '.', 'daughter', 'young', 'work', 'play', 'week', 'eld', 'weight', 'calorie', 'meter', 'light', 'weigh', 'mr', 'rashe', 'bmr', 'year', 'son', 'height']","['60 kg', '1.62', '1.5 meter', '25', '65', '60', '1.62 meter', '3', '1705.0', '65 kg', '2', '1.5', '20']",['m'],[],"{'display': [{'head': 'b', 'relation': 'relatedto', 'tail': 'bacillus', 'score': 0.0}, {'head': 'labial', 'relation': 'relatedto', 'tail': 'b', 'score': 0.0}, {'head': 'b', 'relation': 'relatedto', 'tail': 'scale', 'score': 0.0}], 'graph_edges': [(2250186, 0.0, None), (1390975, 0.0, None), (738466, 0.0, None), (2250189, 0.0, None)]}"
2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1595.0 calorie,2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1595.0 calorie,"['old', 'rahim', 'tania', 'kg', 'hand', 'day', '.', 'daughter', 'young', 'work', 'play', 'week', 'eld', 'weight', 'calorie', 'meter', 'light', 'weigh', 'mr', 'rashe', 'bmr', 'year', 'son', 'height']","['60 kg', '1.62', '1595.0', '1.5 meter', '25', '65', '60', '1.62 meter', '3', '65 kg', '2', '1.5', '20']",['m'],[],"{'display': [{'head': 'b', 'relation': 'relatedto', 'tail': 'bacillus', 'score': 0.0}, {'head': 'a', 'relation': 'relatedto', 'tail': 'vitamin', 'score': 0.0}, {'head': 'labial', 'relation': 'relatedto', 'tail': 'b', 'score': 0.0}], 'graph_edges': [(2250186, 0.0, None), (2234991, 0.0, None), (1390975, 0.0, None), (738466, 0.0, None), (2250189, 0.0, None)]}"
