qid,question,answer,qid.1,question.1,answer.1,concepts,numbers,units,relations,cn_result
0,which is the suitable temperature for photosynthesis?,12\degree c - 25\degree c,0,which is the suitable temperature for photosynthesis?,12\degree c - 25\degree c,"['photosynthesis', 'temperature', 'suitable', 'c']",['12\\degree'],"['m', 'deg']",[],"{'display': [{'head': 'thermosynthesis', 'relation': 'relatedto', 'tail': 'temperature', 'score': -4.292305856045683}, {'head': 'photosynthesis', 'relation': 'isa', 'tail': 'synthesis', 'score': -4.847981749433054}, {'head': 'photosynthesis', 'relation': 'relatedto', 'tail': 'process', 'score': -5.22618148275853}], 'graph_edges': [(2036560, -4.292305856045683, None), (523052, -4.847981749433054, None), (1678439, -5.22618148275853, None), (1676095, -5.278286539946028, None), (1678430, -5.34245302172223, None), (1678458, -5.373575118045271, None), (2378849, -5.43770122535618, None), (1678424, -5.465276272847913, None), (1678433, -5.523222870680739, None), (1678089, -5.548123969208239, None), (1678461, -5.5620202835549915, None), (1678037, -5.569796258107748, None), (523049, -5.571678351432971, None), (1678447, -5.595251412894933, None), (1678455, -5.6202497301323335, None), (1678194, -5.624423000684926, None), (1675902, -5.632768285471726, None), (1677059, -5.692057430176341, None), (523053, -5.704052261689456, None), (1678428, -5.723851177519249, None), (1678426, -5.74423684374677, None), (1678464, -5.766142748599232, None), (704268, -5.777150572037357, None), (1678435, -5.797541171239007, None), (889771, -5.850725861844118, None), (853772, -5.858452561822358, None), (1482523, -5.8707622006942675, None), (1678437, -5.9038610423150555, None), (626166, -5.941970799399397, None), (853741, -5.959824481142881, None), (1584380, -5.994206152828489, None), (1678438, -5.9990072073993925, None), (1693357, -6.024836035620027, None), (61418, -6.028624449343469, None), (1081286, -6.036615921451667, None), (1835538, -6.070377633873464, None), (1678452, -6.082715177979681, None), (882200, -6.083213324299627, None), (1678457, -6.113487891509975, None), (889790, -6.121820414578691, None)]}"
0,which is the suitable temperature for photosynthesis?,17\degree c - 30\degree c,0,which is the suitable temperature for photosynthesis?,17\degree c - 30\degree c,"['photosynthesis', 'temperature', 'suitable', 'c']",['17\\degree'],"['m', 'deg']",[],"{'display': [{'head': 'thermosynthesis', 'relation': 'relatedto', 'tail': 'temperature', 'score': -4.124216065185365}, {'head': 'photoassimilate', 'relation': 'relatedto', 'tail': 'photosynthesis', 'score': -5.066086035127443}, {'head': 'photosynthetically', 'relation': 'relatedto', 'tail': 'photosynthesis', 'score': -5.140555009105631}], 'graph_edges': [(2036560, -4.124216065185365, None), (1676095, -5.066086035127443, None), (1678458, -5.140555009105631, None), (2378849, -5.177410299440334, None), (1675902, -5.329243914885483, None), (523049, -5.335114149017766, None), (1678194, -5.373861273896934, None), (1678433, -5.3749213628157335, None), (1678037, -5.381063536118866, None), (1678447, -5.390307047760886, None), (523053, -5.406059497855558, None), (1678455, -5.411048816995724, None), (1678089, -5.4242228104734735, None), (1678426, -5.492118210959852, None), (1677059, -5.502410488773571, None), (1678435, -5.522298867063171, None), (1678464, -5.587125689407637, None), (853741, -5.603909128414165, None), (1678437, -5.624450908856346, None), (704268, -5.655213214119302, None), (1678438, -5.683727260303685, None), (61418, -5.685094711506804, None), (626166, -5.719900621765404, None), (1482523, -5.79404269989834, None), (1678452, -5.7982346759786845, None), (1678457, -5.843409869547688, None), (1678436, -5.852412490520938, None), (1584380, -5.901595457105196, None), (1676147, -5.968588022396553, None), (2468697, -5.971733334620114, None), (1734388, -6.083628268666155, None), (1734391, -6.203550872576862, None), (1404826, -6.208646235917226, None), (853713, -6.26824699154502, None), (889750, -6.688301719082654, None), (1163675, -7.072478399351954, None), (971079, -7.137938950192253, None), (1762826, -7.190475924442401, None), (1107312, -7.2630580475246616, None), (2036353, -7.7535670004115955, None)]}"
0,which is the suitable temperature for photosynthesis?,22\degree c - 35\degree c,0,which is the suitable temperature for photosynthesis?,22\degree c - 35\degree c,"['photosynthesis', 'temperature', 'suitable', 'c']",['22\\degree'],"['m', 'deg']",[],"{'display': [{'head': 'thermosynthesis', 'relation': 'relatedto', 'tail': 'temperature', 'score': -4.5758267356016855}, {'head': 'photosynthesis', 'relation': 'isa', 'tail': 'synthesis', 'score': -4.9244891182274415}, {'head': 'photosynthetically', 'relation': 'relatedto', 'tail': 'photosynthesis', 'score': -5.313287862709697}], 'graph_edges': [(2036560, -4.5758267356016855, None), (523052, -4.9244891182274415, None), (1678458, -5.313287862709697, None), (1675902, -5.476044022138008, None), (523049, -5.546977918607128, None), (1678447, -5.564858797723275, None), (1678037, -5.583344459533691, None), (1678455, -5.59269118327929, None), (1678089, -5.601114745122174, None), (1678426, -5.6477202083018305, None), (1677059, -5.66026745012044, None), (523053, -5.665431013613981, None), (1678435, -5.690788200751284, None), (1678437, -5.778058837938859, None), (626166, -5.821703435390463, None), (1678438, -5.832999720236284, None), (853741, -5.923652666517774, None), (61418, -5.983584869862112, None), (1678457, -6.009294986387602, None), (1678436, -6.035175408607943, None), (1678452, -6.039892245545918, None), (1584380, -6.049533502177802, None), (1676147, -6.0506989487924265, None), (2468697, -6.1160500147917185, None), (1404826, -6.396692201178079, None), (853713, -6.401717635345963, None), (1163675, -7.219474525784836, None), (971063, -7.37077342753315, None), (1762826, -7.521346577962273, None), (1107312, -7.625122930568371, None), (971079, -7.72937542631716, None), (2036353, -7.9923658006692175, None), (943911, -8.034061930168885, None), (1930679, -8.047379328266521, None), (2036032, -8.055159369101665, None), (963983, -8.070057409497862, None), (2035484, -8.111443687384169, None), (2035487, -8.111443687384169, None), (2036584, -8.147584622239131, None), (894660, -8.149074926927534, None)]}"
0,which is the suitable temperature for photosynthesis?,27\degree c - 40\degree c,0,which is the suitable temperature for photosynthesis?,27\degree c - 40\degree c,"['photosynthesis', 'temperature', 'suitable']","['40\\degree', '27\\degree']","['m', 'deg']",[],"{'display': [{'head': 'thermosynthesis', 'relation': 'relatedto', 'tail': 'temperature', 'score': -4.195429415518874}, {'head': 'photosynthesis', 'relation': 'isa', 'tail': 'photo_chemical_process', 'score': -5.341176149338008}, {'head': 'photosynthesis', 'relation': 'relatedto', 'tail': 'photosynthesise', 'score': -5.36124454211388}], 'graph_edges': [(2036560, -4.195429415518874, None), (523049, -5.341176149338008, None), (1678435, -5.36124454211388, None), (523053, -5.375011454714486, None), (1677059, -5.452699881235393, None), (1678452, -5.636553982754997, None), (61418, -5.642892074325601, None), (1678457, -5.67154149846552, None), (1678436, -5.707338395873954, None), (1676147, -5.773772133381506, None), (2468697, -5.851470876826237, None), (1404826, -6.026867085464169, None), (971063, -6.972658739658714, None), (1762826, -7.215220597713072, None), (971079, -7.295200900192471, None), (1107312, -7.419591159106655, None), (2036615, -7.742734903534923, None), (2036032, -7.7788662222690075, None), (1300029, -7.7918699711033135, None), (2036353, -7.801117924372618, None), (2036527, -7.815521480289387, None), (2036444, -7.817848557991747, None), (2035472, -7.847956995636371, None), (1682252, -7.868894816866195, None), (943911, -7.907971292906703, None), (1885223, -7.926168396577825, None), (2035484, -7.940967320613428, None), (2035487, -7.940967320613428, None), (894660, -7.959098029848785, None), (2036584, -7.960536013222629, None), (963983, -7.962303588395404, None), (1808405, -8.018448469213102, None), (1930679, -8.03162025047866, None), (969391, -8.059474982574953, None), (2036275, -8.07986407258555, None), (2035851, -8.08267448633559, None), (2036257, -8.087840552457008, None), (2036592, -8.125043795902501, None), (1002691, -8.142590021257899, None), (1740222, -8.142612641362994, None)]}"
1,where is the solar energy stored as the potential energy?,oxygen,1,where is the solar energy stored as the potential energy?,oxygen,"['solar', 'energy', 'oxygen', 'potential', 'store']",[],[],[],"{'display': [{'head': 'potential_energy', 'relation': 'isa', 'tail': 'energy', 'score': 0.75}, {'head': 'potential_energy', 'relation': 'isa', 'tail': 'energy', 'score': 0.75}, {'head': 'solar_energy', 'relation': 'isa', 'tail': 'energy', 'score': 0.75}], 'graph_edges': [(529459, 0.75, None), (529460, 0.75, None), (558009, 0.75, None), (558008, 0.75, None), (1989799, 0.75, None), (1091669, 0.75, None), (1905986, 0.75, None), (1091670, 0.75, None), (1091635, 0.75, None), (1929096, 0.75, None), (1091657, 0.75, None), (2159224, 0.75, None), (1091659, 0.75, None), (2126887, 0.75, None), (1929132, 0.75, None), (628044, -7.914781901982906, None), (1627286, -8.051317317051062, None), (1627404, -8.155444245247873, None), (1626909, -8.171091489815945, None), (1627406, -8.19479769363025, None), (1627390, -8.212817107167877, None), (2159228, -8.224416934090112, None), (1989129, -8.24079417371612, None), (1414498, -8.307733677801485, None), (103262, -8.310519275171167, None), (2367741, -8.319888503162524, None), (631973, -8.337575045040202, None), (1425842, -8.340364456176758, None), (2169085, -8.36900125196327, None), (1811046, -8.38361909982401, None), (1745622, -8.399888145279013, None), (594563, -8.448674935395717, None), (1091656, -8.51581540107727, None), (1627252, -8.534928434170876, None), (1425428, -8.555671339112733, None), (1627774, -8.566032496150584, None), (1365073, -8.602745615252463, None), (1086346, -8.620051518299674, None), (89786, -8.623418786824907, None), (892967, -8.63461792027854, None)]}"
1,where is the solar energy stored as the potential energy?,water,1,where is the solar energy stored as the potential energy?,water,"['solar', 'water', 'energy', 'potential', 'store']",[],[],[],"{'display': [{'head': 'potential_energy', 'relation': 'isa', 'tail': 'energy', 'score': 0.75}, {'head': 'potential_energy', 'relation': 'isa', 'tail': 'energy', 'score': 0.75}, {'head': 'solar_energy', 'relation': 'isa', 'tail': 'energy', 'score': 0.75}], 'graph_edges': [(529460, 0.75, None), (529459, 0.75, None), (558009, 0.75, None), (558008, 0.75, None), (1091669, 0.75, None), (1091670, 0.75, None), (1091635, 0.75, None), (1091659, 0.75, None), (1929096, 0.75, None), (1091657, 0.75, None), (1091656, 0.75, None), (1091658, 0.75, None), (1929132, 0.75, None), (1091636, 0.75, None), (1091660, 0.75, None), (2383950, -6.797541869671147, None), (1989129, -6.865088297103899, None), (1091624, -6.867604672966567, None), (2482147, -7.366988219614323, None), (1291598, -7.382114810255089, None), (89786, -7.463431447681936, None), (1091673, -7.583337828816027, None), (2158150, -8.153526274467763, None), (2336912, -8.215753008037515, None), (1300841, -8.21977876791611, None), (101375, -8.490822813423295, None), (1845930, -8.687476209513811, None), (66801, -8.726851079779019, None), (634078, -8.779335350469601, None), (2158342, -8.827500354666432, None), (783803, -8.834298819934434, None), (638084, -8.858559992397328, None), (1091484, -8.87793288309402, None), (102299, -8.940681056395391, None), (486371, -8.950623127002345, None), (2297195, -8.972025859850438, None), (2297198, -8.972025859850438, None), (437051, -9.008284170223877, None), (1053095, -9.05227890547526, None), (100589, -9.136028716070399, None)]}"
1,where is the solar energy stored as the potential energy?,carbon-dioxide,1,where is the solar energy stored as the potential energy?,carbon-dioxide,"['solar', 'energy', 'carbon', 'potential', 'store', 'dioxide']",[],[],[],"{'display': [{'head': 'potential_energy', 'relation': 'isa', 'tail': 'energy', 'score': 0.75}, {'head': 'potential_energy', 'relation': 'isa', 'tail': 'energy', 'score': 0.75}, {'head': 'solar_energy', 'relation': 'isa', 'tail': 'energy', 'score': 0.75}], 'graph_edges': [(529460, 0.75, None), (529459, 0.75, None), (558008, 0.75, None), (558009, 0.75, None), (1091635, 0.75, None), (1091669, 0.75, None), (1091670, 0.75, None), (1091659, 0.75, None), (1091658, 0.75, None), (1091656, 0.75, None), (1091636, 0.75, None), (1929096, 0.75, None), (1091661, 0.75, None), (1091657, 0.75, None), (1091624, 0.75, None), (1929132, -6.869209071244717, None), (1989129, -6.898864202021229, None), (853608, -7.221828389878446, None), (404243, -7.4894754814060205, None), (1091673, -7.78599091911059, None), (853730, -7.854871644342279, None), (2482147, -7.893217502471962, None), (404251, -7.893473334505349, None), (853736, -7.972776996075399, None), (853605, -8.090694874212494, None), (853626, -8.202125168226267, None), (1091484, -8.435880967235553, None), (634078, -8.532309532165527, None), (1028511, -8.585740556075809, None), (2297198, -8.697568833941421, None), (2297195, -8.697568833941421, None), (2030580, -8.714908794568052, None), (783803, -8.808588543186218, None), (1028508, -8.81432445885431, None), (1328616, -8.818232709434355, None), (1809377, -8.822649548577118, None), (2073517, -8.843779364729208, None), (1091593, -8.859792009152953, None), (1802971, -8.935507912728873, None), (2036928, -8.984945570072504, None)]}"
1,where is the solar energy stored as the potential energy?,carbohydrate,1,where is the solar energy stored as the potential energy?,carbohydrate,"['solar', 'energy', 'potential', 'store', 'carbohydrate']",[],[],[],"{'display': [{'head': 'energy', 'relation': 'relatedto', 'tail': 'potential', 'score': -6.080199920187397}, {'head': 'energy', 'relation': 'relatedto', 'tail': 'stored', 'score': -6.255566103371566}, {'head': 'carbohydrate', 'relation': 'relatedto', 'tail': 'energy', 'score': -6.347569742833495}], 'graph_edges': [(1091635, -6.080199920187397, None), (1091669, -6.255566103371566, None), (853505, -6.347569742833495, None), (1091657, -6.633738889276342, None), (1091659, -6.638440244808377, None), (1929096, -6.670859803096885, None), (1989129, -6.763297279533835, None), (853519, -6.791456604003907, None), (1091656, -6.839199648702731, None), (1929132, -7.298713429572523, None), (2482147, -7.381616739247048, None), (1091673, -7.4497002146841425, None), (853518, -8.275901008650033, None), (853535, -8.31352267269297, None), (1970388, -8.42841915421599, None), (853521, -8.473944356857963, None), (1215657, -8.702690121662892, None), (1091484, -8.752707274756494, None), (1215288, -8.757537767505472, None), (853397, -8.758398899736411, None), (853523, -8.76054948603494, None), (404217, -8.779447507098157, None), (566555, -8.833232233567253, None), (1676092, -8.878584566821846, None), (1299863, -8.929769142086881, None), (180192, -9.027810096740723, None), (1215526, -9.074026133645019, None), (501368, -9.096123287348853, None), (1215325, -9.110556271388266, None), (1215348, -9.119795737297475, None), (528001, -9.12510520480034, None), (528002, -9.12510520480034, None), (1215539, -9.143421915253045, None), (1215328, -9.156308090408332, None), (261709, -9.15756581820531, None), (853524, -9.164708654450763, None), (1957813, -9.166585437259117, None), (1841647, -9.215350210757345, None), (853398, -9.229481481107866, None), (2036928, -9.235912056476284, None)]}"
2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1801.5 calorie,2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1801.5 calorie,"['old', 'rahim', 'tania', 'kg', 'hand', 'day', '.', 'daughter', 'young', 'work', 'play', 'week', 'eld', 'weight', 'calorie', 'meter', 'light', 'weigh', 'mr', 'rashe', 'bmr', 'year', 'son', 'height']","['60 kg', '1.62', '1.5 meter', '25', '65', '1801.5', '60', '1.62 meter', '3', '65 kg', '2', '1.5', '20']",['m'],[],"{'display': [{'head': 'daughter', 'relation': 'relatedto', 'tail': 'girl', 'score': 0.75}, {'head': 'daughter', 'relation': 'relatedto', 'tail': 'son', 'score': 0.75}, {'head': 'daughter', 'relation': 'relatedto', 'tail': 'child', 'score': 0.75}], 'graph_edges': [(991321, 0.75, None), (991383, 0.75, None), (991277, 0.75, None), (991304, 0.75, None), (2163926, 0.75, None), (2325395, 0.75, None), (2163927, 0.75, None), (2163847, 0.75, None), (2163797, 0.75, None), (885851, 0.75, None), (2163851, 0.75, None), (2163834, 0.75, None), (2163849, 0.75, None), (2164073, 0.75, None), (2163798, 0.75, None), (2251079, -4.593000493502139, None), (2442175, -4.677698441198525, None), (663902, -4.727247735803431, None), (1855440, -4.7687606781717715, None), (2163997, -4.792426005933381, None), (2164079, -4.799809726767737, None), (2442202, -4.852619579428285, None), (1801777, -4.888119913923237, None), (2164007, -4.902820138709332, None), (1172917, -4.903378256591116, None), (2164160, -4.903871104417722, None), (2341246, -4.924919249448864, None), (569801, -4.940437524159405, None), (1018590, -4.950728019195099, None), (2163993, -4.9564015061427655, None), (2164025, -4.970041709069952, None), (2163940, -4.971280582775428, None), (2164023, -4.990410888916137, None), (786405, -4.997086313651298, None), (2150061, -4.99910259372335, None), (2120424, -5.001838676614799, None), (2163894, -5.008992781469215, None), (1186300, -5.026613025318204, None), (1023278, -5.038623802309775, None), (1172906, -5.039193089594889, None)]}"
2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1705.0 calorie,2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1705.0 calorie,"['old', 'rahim', 'tania', 'kg', 'hand', 'day', '.', 'daughter', 'young', 'work', 'play', 'week', 'eld', 'weight', 'calorie', 'meter', 'light', 'weigh', 'mr', 'rashe', 'bmr', 'year', 'son', 'height']","['60 kg', '1.62', '1.5 meter', '25', '65', '60', '1.62 meter', '3', '1705.0', '65 kg', '2', '1.5', '20']",['m'],[],"{'display': [{'head': 'daughter', 'relation': 'relatedto', 'tail': 'girl', 'score': 0.75}, {'head': 'daughter', 'relation': 'relatedto', 'tail': 'son', 'score': 0.75}, {'head': 'daughter', 'relation': 'relatedto', 'tail': 'child', 'score': 0.75}], 'graph_edges': [(991321, 0.75, None), (991383, 0.75, None), (991277, 0.75, None), (991304, 0.75, None), (2325395, 0.75, None), (2163926, 0.75, None), (2163927, 0.75, None), (2163847, 0.75, None), (885851, 0.75, None), (2163797, 0.75, None), (2163851, 0.75, None), (2163849, 0.75, None), (2164073, 0.75, None), (2163834, 0.75, None), (2163798, 0.75, None), (2251079, -4.629784106601813, None), (663902, -4.727404262778745, None), (2442175, -4.793522458457441, None), (1855440, -4.806909980706767, None), (2164079, -4.831693304190068, None), (2163997, -4.8481879292627985, None), (2164008, -4.859882186545096, None), (2341246, -4.861989176659962, None), (2442201, -4.867523040555862, None), (2442202, -4.884194676423872, None), (1801777, -4.906707633401544, None), (2164160, -4.928405290785259, None), (2163993, -4.9329421616469435, None), (2164007, -4.941112455686938, None), (1172917, -4.951142856317059, None), (2163940, -4.980195205042839, None), (2164025, -4.985604526965741, None), (2164023, -5.004860854057844, None), (2150061, -5.017519273437325, None), (786405, -5.029019368317052, None), (2163894, -5.0391276096381326, None), (1172906, -5.055607086050934, None), (785860, -5.060527681740855, None), (1186300, -5.069264164374893, None), (2442186, -5.070842493435965, None)]}"
